"","column_label","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","start","end","NA's"
"1","ry/Aoy 2 (outside) (31.75028 -106.48169) Primary ",0,2.42,4.82,8.20184498220459,10.0875,1211.39,2020-04-29 21:09:50,2021-06-28 08:01:37,NA
"2","ry/Aoy 2 B (undefined) (31.75028 -106.48169) Primary ",0,2.02,4.3,7.46244671618552,9.25,931.55,2020-04-29 21:09:53,2021-06-28 08:01:40,NA
"3","ry/Aoy E.S. (outside) (31.750935 -106.481451) Primary ",0,2.87,5.94,10.9505013034253,13.45,525.26,2020-04-28 19:56:30,2021-08-13 20:14:01,NA
"4","ry/Aoy E.S. B (undefined) (31.750935 -106.481451) Primary ",0,2.32,4.84,8.68148457548457,10.28,398.32,2020-04-28 19:56:34,2021-08-13 20:14:04,NA
"5","ry/Bonham E.S. (outside) (31.786589 -106.392349) Primary ",0,2.07,4.46,200.390182745617,8.66,3472.53,2020-11-25 17:29:13,2021-08-13 18:28:36,NA
"6","ry/Bonham E.S. B (undefined) (31.786589 -106.392349) Primary ",0,1.98,4.07,6.66783722266258,7.49,341.96,2020-11-25 17:29:16,2021-08-13 18:28:41,NA
"7","ry/Cielo Vista E.S (outside) (31.783949 -106.367783) Primary ",0,2.21,4.83,7.88162638504341,9.4,535.88,2020-04-25 01:05:20,2021-08-13 19:03:11,NA
"8","ry/Cielo Vista E.S B (undefined) (31.783949 -106.367783) Primary Rea.csv",0,1.66,3.88,6.6716287951833,7.81,501.19,2020-04-25 01:05:24,2021-08-13 19:03:15,NA
"9","ry/Coldwell E.S. (outside) (31.795216 -106.442037) Primary ",0,1.35,3.51,6.38365410490498,7.11,421.16,2020-04-28 19:56:19,2021-08-13 19:26:36,NA
"10","ry/Coldwell E.S. B (undefined) (31.795216 -106.442037) Primary ",0,1.33,3.48,6.32384969845196,7.07,416.87,2020-04-28 19:56:22,2021-08-13 19:24:40,NA
"11","ry/Douglass E.S. (outside) (31.766496 -106.464951) Primary ",0,1.83,4.15,7.06487689141077,8.34,945.15,2020-05-13 21:51:05,2021-08-13 20:19:10,NA
"12","ry/Douglass E.S. B (undefined) (31.766496 -106.464951) Primary ",0,1.75,4.09,7.22015956854713,8.36,968.49,2020-05-13 21:51:13,2021-08-13 20:19:14,NA
"13","ry/Hawkins E.S (outside) (31.777423 -106.419229) Primary ",0,1.79,4.12,7.21640889769734,8.565,407.39,2020-05-22 21:44:00,2021-08-13 20:09:09,NA
"14","ry/Hawkins E.S B (undefined) (31.777423 -106.419229) Primary ",0,1.82,4.25,7.82108863349304,9.3,360.46,2020-05-22 21:44:03,2021-08-13 20:09:13,NA
"15","ry/Mesita E.S (outside) (31.783542 -106.50389) Primary ",0,1.44,3.54,6.50486589425335,7.88,356.49,2020-06-03 19:13:34,2021-07-23 23:35:39,NA
"16","ry/Mesita E.S B (undefined) (31.783542 -106.50389) Primary ",0,1.58,3.71,6.95001145711838,8.18,404.05,2020-06-03 19:13:37,2021-07-23 23:35:43,NA
"17","ry/Park 2 (outside) (31.85633 -106.450588) Primary ",0,1.49,3.86,6.86253936004428,7.7,733.02,2020-12-04 19:48:35,2021-08-13 18:43:48,3
"18","ry/Park 2 B (undefined) (31.85633 -106.450588) Primary ",0,1.87,4.18,7.09001988795722,8,743.62,2020-12-04 19:48:38,2021-08-13 18:43:52,NA
"19","ry/Park E.S (outside) (31.856959 -106.450607) Primary ",0,1.02,3.05,5.98462454994648,6.71,423.33,2020-04-28 19:56:02,2021-08-13 18:37:25,NA
"20","ry/Park E.S B (undefined) (31.856959 -106.450607) Primary ",0,1.44,3.53,6.6484658565472,7.38,414.73,2020-04-28 19:56:05,2021-08-13 18:37:29,NA
"21","ry/Western Hills E.S (outside) (31.84122 -106.522755) Primary ",0,1.16,2.76,5.21809022068216,5.91,405.73,2020-05-12 19:27:46,2021-08-13 18:37:36,NA
"22","ry/Western Hills E.S B (undefined) (31.84122 -106.522755) Primary .csv",0,1.26,3.12,6.04984752977052,6.89,412.8,2020-05-12 19:27:49,2021-08-13 18:37:45,NA
"23","ry/Whitaker ES (outside) (31.875582 -106.432343) Primary ",0,1.65,3.81,6.74261723482675,7.4675,1038.94,2020-05-07 20:28:11,2021-08-13 18:21:59,NA
"24","ry/Whitaker ES B (undefined) (31.875582 -106.432343) Primary ",0,2.41,8.64,956.914741395812,3063.6475,3348.66,2020-05-07 20:28:14,2021-08-13 18:22:03,NA
"25","ry/Zach White E.S. (outside) (31.820733 -106.571813) Primary ",0,1.6,3.77,6.71997169760268,7.71,472.44,2020-05-13 20:24:19,2021-08-13 19:02:46,NA
"26","ry/Zach White E.S. B (undefined) (31.820733 -106.571813) Primary ",0,1.51,3.48,6.49594408546287,7.3075,521.75,2020-05-13 20:24:23,2021-08-13 19:02:49,NA
"27","ry/Zavala 2 (outside) (31.771832 -106.447092) Primary ",0,1.23,4.38,332.219015839534,11.86,3402.45,2020-12-04 18:27:16,2021-08-13 01:19:25,NA
"28","ry/Zavala 2 B (undefined) (31.771832 -106.447092) Primary ",0,0.76,2.84,5.57968058776021,6.49,630.37,2020-12-04 18:27:19,2021-08-13 01:19:28,NA
"29","ry/Zavala E.S (outside) (31.771649 -106.447023) Primary ",0,1.41,3.67,6.37988353396612,7.71,821.38,2020-05-22 22:15:29,2021-08-13 19:50:04,NA
"30","ry/Zavala E.S B (undefined) (31.771649 -106.447023) Primary ",0,1.57,3.67,6.53207615149186,7.7,1055.84,2020-05-22 22:15:33,2021-08-13 19:50:08,NA
